scale,model,split,kernel_family,target,smape,r2,rmse,n_samples,inference_seconds_per_sample
100,logistic_hurdle_rbf_threshold_graph,test,2layer,dsp,16.781410217285156,0.630543053150177,2.7113196849823,64,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,2layer,bram,23.35929298400879,-0.022612452507019043,2.181966543197632,64,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,2layer,cycles_max,5.9838151931762695,0.9749690294265747,349.529541015625,64,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,2layer,interval_max,5.720746994018555,0.9761541485786438,203.03038024902344,64,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,3layer,lut,14.180482864379883,0.7114171981811523,5224.12060546875,58,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,3layer,ff,12.486650466918945,0.6914665699005127,2892.61669921875,58,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,3layer,dsp,17.056276321411133,0.6706758737564087,3.1868155002593994,58,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,3layer,bram,23.812679290771484,-0.09648871421813965,6.212028503417969,58,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,3layer,cycles_max,5.8960652351379395,0.9751023054122925,513.5892944335938,58,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,3layer,interval_max,7.701320171356201,0.9716856479644775,233.40647888183594,58,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,conv1d,lut,11.176336288452148,0.9436322450637817,3189.486083984375,24,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,conv1d,ff,12.696491241455078,0.8139849305152893,7674.7578125,24,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,conv1d,dsp,9.927507400512695,0.9058003425598145,0.7455708980560303,24,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,conv1d,bram,40.756221771240234,0.41052210330963135,9.10513687133789,24,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,conv1d,cycles_max,42.48786163330078,0.8628466725349426,55886.9375,24,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,conv1d,interval_max,42.960838317871094,0.845877468585968,59243.12109375,24,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,conv2d,lut,24.973224639892578,0.7056269645690918,10862.94140625,13,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,conv2d,ff,22.952054977416992,0.5347004532814026,40522.98828125,13,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,conv2d,dsp,25.381595611572266,0.15520328283309937,1.8786033391952515,13,0.0009913240720413764
