model,split,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
pooled_mlp,exemplar,ff,0.4041411876678467,85.63582611083984,11366.3681640625,-14.458091735839844,-177.0349578857422,-152.32919311523438,57.04573059082031,0.030459018869996725,100
pooled_mlp,exemplar,dsp,-0.03222954273223877,94.70266723632812,852.3170166015625,26.957372665405273,-96.34068298339844,-4.029117584228516,78.59303283691406,0.030459018869996725,100
pooled_mlp,exemplar,bram,-9.789534568786621,118.88230895996094,7.2021307945251465,-199.09744262695312,-287.4014892578125,-330.02496337890625,-135.91868591308594,0.030459018869996725,100
pooled_mlp,exemplar,cycles_max,0.24377089738845825,104.09830474853516,1138.2337646484375,-98.94020080566406,-561.8178100585938,-710.3876953125,17.32461166381836,0.030459018869996725,100
pooled_mlp,exemplar,interval_max,-0.09456074237823486,129.5890655517578,490.66387939453125,-14.68123722076416,-500.8150329589844,-781.62890625,80.37779998779297,0.030459018869996725,100
rgcn,synthetic_test,lut,0.3275548219680786,43.667938232421875,111050.640625,4.985090255737305,-31.151399612426758,-24.423954010009766,32.51316833496094,0.073413763285726,91
rgcn,synthetic_test,ff,0.5832564830780029,41.266624450683594,40576.63671875,4.142772674560547,-64.872314453125,-18.442401885986328,32.847557067871094,0.073413763285726,91
rgcn,synthetic_test,dsp,0.053903400897979736,46.703651428222656,1253.0572509765625,0.0,-3.3301992416381836,-21.708574295043945,31.670825958251953,0.073413763285726,91
rgcn,synthetic_test,bram,0.31226563453674316,48.2445182800293,26.393705368041992,-3.409576416015625,-28.65067481994629,-40.91357421875,25.72447395324707,0.073413763285726,91
rgcn,synthetic_test,cycles_max,0.6093449592590332,58.18018341064453,282895.78125,9.70961856842041,-39.2778205871582,-77.28721618652344,39.21215057373047,0.073413763285726,91
rgcn,synthetic_test,interval_max,-1.3310065269470215,64.44255828857422,691512.5,-8.70547866821289,-56.880638122558594,-120.463134765625,38.75914764404297,0.073413763285726,91
rgcn,exemplar,lut,-1.8420381546020508,97.5224380493164,43697.86328125,-131.43934631347656,-393.67364501953125,-576.9404296875,-32.40293884277344,0.055293275550011456,100
rgcn,exemplar,ff,-0.8035986423492432,99.49016571044922,19775.16015625,-120.01213073730469,-736.247802734375,-511.63958740234375,13.656256675720215,0.055293275550011456,100
rgcn,exemplar,dsp,-0.011861562728881836,110.14925384521484,843.8661499023438,-104.22201538085938,-302.7743225097656,-373.514892578125,56.270809173583984,0.055293275550011456,100
rgcn,exemplar,bram,-58.1838264465332,153.60128784179688,16.86790657043457,-585.1458740234375,-612.36279296875,-794.80908203125,-396.503662109375,0.055293275550011456,100
rgcn,exemplar,cycles_max,0.05776417255401611,104.64793395996094,1270.5289306640625,-74.27493286132812,-785.4755249023438,-837.92236328125,52.07057189941406,0.055293275550011456,100
rgcn,exemplar,interval_max,-0.15046846866607666,126.03287506103516,503.0388488769531,21.267375946044922,-693.8634643554688,-757.9071044921875,84.31256866455078,0.055293275550011456,100
