model,split,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
tabular_mlp_core_context,exemplar,interval_max,0.01876044273376465,112.30677032470703,542.2813720703125,-102.24623107910156,-770.739990234375,-728.622802734375,36.637908935546875,7.89173449811642e-05,400
ridge_all_context,synthetic_test,lut,0.6990267634391785,32.98564529418945,57321.50390625,-1.049889087677002,-339.9675598144531,-30.940757751464844,17.857248306274414,2.6715101894358694e-06,294
ridge_all_context,synthetic_test,ff,0.4097023010253906,43.53856658935547,61236.7109375,0.9499998092651367,-34.56431198120117,-28.88511085510254,29.02962875366211,2.6715101894358694e-06,294
ridge_all_context,synthetic_test,dsp,0.1742580533027649,68.46680450439453,1168.9632568359375,-1.5822110176086426,-75.08895111083984,-66.82746887207031,39.37390899658203,2.6715101894358694e-06,294
ridge_all_context,synthetic_test,bram,0.5575324892997742,34.541683197021484,28.093862533569336,-2.628776788711548,-16.650346755981445,-23.740924835205078,13.014907836914062,2.6715101894358694e-06,294
ridge_all_context,synthetic_test,cycles_max,0.0006303191184997559,41.192474365234375,1034061.5,-0.22319331765174866,-24.4592227935791,-35.652015686035156,26.38409423828125,2.6715101894358694e-06,294
ridge_all_context,synthetic_test,interval_max,0.43849730491638184,50.928802490234375,775244.0,-0.6543887853622437,-38.10908126831055,-42.59304428100586,32.23047637939453,2.6715101894358694e-06,294
ridge_all_context,exemplar,lut,-0.6679019927978516,65.25057983398438,35503.93359375,-30.33746337890625,-98.40022277832031,-141.92117309570312,28.67259979248047,2.785714968922548e-06,400
ridge_all_context,exemplar,ff,-0.4657158851623535,121.96068572998047,20979.828125,78.78883361816406,16.628246307373047,35.08551025390625,90.53702545166016,2.785714968922548e-06,400
ridge_all_context,exemplar,dsp,-0.04301190376281738,101.54681396484375,718.9524536132812,52.82642364501953,-1.608021855354309,0.0,79.98365783691406,2.785714968922548e-06,400
ridge_all_context,exemplar,bram,-0.04104268550872803,67.80253601074219,2.5797581672668457,19.606040954589844,-3.4254150390625,-13.660359382629395,50.0,2.785714968922548e-06,400
ridge_all_context,exemplar,cycles_max,0.4931502938270569,100.83382415771484,980.4395751953125,-133.12973022460938,-754.4413452148438,-847.701416015625,6.4550275802612305,2.785714968922548e-06,400
ridge_all_context,exemplar,interval_max,0.10670876502990723,117.68107604980469,517.40869140625,-66.51739501953125,-983.6962280273438,-797.2299194335938,52.690155029296875,2.785714968922548e-06,400
extra_trees_all_context,synthetic_test,lut,0.7236065864562988,29.801395416259766,54930.9921875,1.5349721908569336,-310.8258972167969,-21.050960540771484,17.665605545043945,0.0006289234455971073,294
extra_trees_all_context,synthetic_test,ff,0.8504552245140076,29.107791900634766,30822.08203125,1.1362954378128052,-24.416053771972656,-16.243839263916016,17.261438369750977,0.0006289234455971073,294
extra_trees_all_context,synthetic_test,dsp,0.5563150644302368,34.63987731933594,856.8721923828125,-2.8439409732818604,-24.0018310546875,-19.925689697265625,13.170260429382324,0.0006289234455971073,294
extra_trees_all_context,synthetic_test,bram,0.4875319004058838,32.205711364746094,30.234596252441406,-0.4022076725959778,-17.328815460205078,-15.539594650268555,15.563584327697754,0.0006289234455971073,294
extra_trees_all_context,synthetic_test,cycles_max,0.5304703712463379,27.092021942138672,708785.4375,0.7264089584350586,-11.249024391174316,-12.640204429626465,11.887826919555664,0.0006289234455971073,294
extra_trees_all_context,synthetic_test,interval_max,0.5289568901062012,33.40115737915039,710056.3125,-1.4639956951141357,-25.744552612304688,-15.594329833984375,11.130642890930176,0.0006289234455971073,294
extra_trees_all_context,exemplar,lut,0.1999714970588684,98.64498138427734,24589.173828125,-204.99908447265625,-515.7138671875,-495.50604248046875,-66.68650817871094,0.0004902620424763882,400
extra_trees_all_context,exemplar,ff,0.2011200189590454,94.07632446289062,15488.8017578125,-146.43252563476562,-456.5203857421875,-433.6592712402344,-17.66209602355957,0.0004902620424763882,400
extra_trees_all_context,exemplar,dsp,-0.0593334436416626,114.850830078125,724.5558471679688,-74.89750671386719,-172.31878662109375,-305.7281494140625,69.62171936035156,0.0004902620424763882,400
extra_trees_all_context,exemplar,bram,-3.6897454261779785,115.8137435913086,5.4754438400268555,-227.71005249023438,-255.31988525390625,-347.7119140625,-130.65093994140625,0.0004902620424763882,400
